perfil;codigo;categoria;escopo;apps;permissoes;atribuido_por;disponivel_no_cadastro
Recepção de Saúde;SAU_RECEPCAO;Saúde;UNIDADE;Saúde (ver);saude.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Regulação de Saúde;SAU_REGULACAO;Saúde;UNIDADE;Saúde (operar, ver);saude.manage, saude.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Secretário de Saúde;SAU_SECRETARIO;Saúde;SECRETARIA;Saúde (operar, ver), Comunicação (enviar, ver), Painéis BI (ver), Relatórios (ver);comunicacao.send, comunicacao.view, paineis.view, reports.view, saude.manage, saude.view;Admin (Sistema), Gestor Municipal;SIM
Técnico de Enfermagem;SAU_TEC_ENF;Saúde;UNIDADE;Saúde (ver);saude.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Protocolo / Atendimento Geral;PROTOCOLO;Operação Administrativa;SECRETARIA;Processos (operar, ver), Ouvidoria (operar, ver), Comunicação (enviar, ver);comunicacao.send, comunicacao.view, ouvidoria.manage, ouvidoria.view, processos.manage, processos.view;Admin (Sistema), Gestor de Secretaria, Gestor Municipal;SIM
RH / Gestão de Pessoas;RH_GESTOR;Operação Administrativa;MUNICIPAL;Organização (ver), RH (operar, ver), Ponto (operar, ver), Folha (operar, ver), Relatórios (ver);folha.manage, folha.view, org.view, ponto.manage, ponto.view, reports.view, rh.manage, rh.view;Admin (Sistema), Gestor Municipal;SIM
Admin Portal;PORTAL_ADMIN;Portais e Conteúdo;MUNICIPAL;Organização (ver);org.view;Admin (Sistema), Gestor Municipal;SIM
Aprovador de Conteúdo;PORTAL_APROV;Portais e Conteúdo;SECRETARIA;Organização (ver), Comunicação (auditar, ver);comunicacao.audit, comunicacao.view, org.view;Admin (Sistema), Gestor Municipal;SIM
Camara Admin;CAMARA_ADMIN;Portais e Conteúdo;MUNICIPAL;Câmara (operar, operar cms, operar proposicoes, operar sessoes, operar transmissoes, operar transparencia, ver);camara.cms.manage, camara.manage, camara.proposicoes.manage, camara.sessoes.manage, camara.transmissoes.manage, camara.transparencia.manage, camara.view;Admin (Sistema), Gestor Municipal;NAO
Camara Auditor;CAMARA_AUDITOR;Portais e Conteúdo;MUNICIPAL;Câmara (ver);camara.view;Admin (Sistema), Gestor Municipal;NAO
Camara Comunicacao;CAMARA_COMUNICACAO;Portais e Conteúdo;SECRETARIA;Câmara (operar cms, operar transmissoes, ver);camara.cms.manage, camara.transmissoes.manage, camara.view;Admin (Sistema), Gestor Municipal;NAO
Camara Secretaria;CAMARA_SECRETARIA;Portais e Conteúdo;SECRETARIA;Câmara (operar proposicoes, operar sessoes, ver);camara.proposicoes.manage, camara.sessoes.manage, camara.view;Admin (Sistema), Gestor Municipal;NAO
Camara Transparencia;CAMARA_TRANSPARENCIA;Portais e Conteúdo;SECRETARIA;Câmara (operar transparencia, ver);camara.transparencia.manage, camara.view;Admin (Sistema), Gestor Municipal;NAO
Camara Vereador;CAMARA_VEREADOR;Portais e Conteúdo;MUNICIPAL;Câmara (operar proposicoes, ver);camara.proposicoes.manage, camara.view;Admin (Sistema), Gestor Municipal;NAO
Designer / Tema;PORTAL_DESIGN;Portais e Conteúdo;SECRETARIA;Organização (ver);org.view;Admin (Sistema), Gestor Municipal;SIM
Editor de Conteúdo;PORTAL_EDITOR;Portais e Conteúdo;SECRETARIA;Organização (ver), Comunicação (enviar, ver);comunicacao.send, comunicacao.view, org.view;Admin (Sistema), Gestor Municipal;SIM
Admin Gestão (Integrações);INT_GESTAO;Integrações e TI;MUNICIPAL;Integrações (operar, ver), Relatórios (ver);integracoes.manage, integracoes.view, reports.view;Admin (Sistema), Gestor Municipal;SIM
Admin TI (Integrações);INT_TI;Integrações e TI;MUNICIPAL;Integrações (administrar, operar, ver), Relatórios (ver);integracoes.admin, integracoes.manage, integracoes.view, reports.view;Admin (Sistema), Gestor Municipal;SIM
Leitor (Integrações);INT_LEITOR;Integrações e TI;MUNICIPAL;Integrações (ver), Relatórios (ver);integracoes.view, reports.view;Admin (Sistema), Gestor Municipal;SIM
Analista Setorial;DADOS_ANALISTA;Dados e BI;SECRETARIA;Comunicação (auditar, ver), Painéis BI (ver), Ferramentas PDF (ver), Relatórios (ver);comunicacao.audit, comunicacao.view, conversor.view, paineis.view, reports.view;Admin (Sistema), Gestor Municipal;SIM
Gestor de Dados / BI;DADOS_GESTOR;Dados e BI;MUNICIPAL;Comunicação (auditar, ver), Painéis BI (operar, publicar, ver), Ferramentas PDF (operar, ver), Relatórios (ver);comunicacao.audit, comunicacao.view, conversor.manage, conversor.view, paineis.manage, paineis.publish, paineis.view, reports.view;Admin (Sistema), Gestor Municipal;SIM
Aluno;ALUNO;Portais do Cidadão;ALUNO;Contas e Acessos (ver);accounts.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Cidadão (Portal);CIDADAO;Portais do Cidadão;ALUNO;;;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Visualizacao;VISUALIZACAO;Outros;LEITURA;;;Admin (Sistema);NAO
